element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
942,960,961,1012,1011,1.00000000e+06,3.11673769e-10,-6.25989926e-09,1.00000000e+06
943,961,962,1013,1012,1.00000000e+06,1.15152503e-09,-1.14821832e-08,1.00000000e+06
944,962,963,1014,1013,1.00000000e+06,-4.76440668e-10,-2.58263603e-08,1.00000000e+06
945,963,964,1015,1014,1.00000000e+06,1.29843079e-09,-1.53247807e-08,1.00000000e+06
946,964,965,1016,1015,1.00000000e+06,-1.94133280e-08,-1.67272718e-08,1.00000000e+06
947,965,966,1017,1016,1.00000000e+06,1.80899544e-08,-3.39106383e-08,1.00000000e+06
948,966,967,1018,1017,1.00000000e+06,-8.47953184e-09,1.77306801e-08,1.00000000e+06
949,967,968,1019,1018,1.00000000e+06,-2.93595292e-09,-1.92129877e-08,1.00000000e+06
950,969,970,1021,1020,1.08599631e+06,1.44846763e+05,-1.03105040e+05,1.03680155e+06
951,970,971,1022,1021,9.27980154e+05,-3.66575045e+04,3.02475212e+04,9.48289573e+05
952,971,972,1023,1022,9.73755576e+05,8.05384848e+03,1.73228562e+02,9.69753781e+05
953,972,973,1024,1023,9.92061602e+05,-1.50847880e+03,2.20136630e+03,9.92824022e+05
954,973,974,1025,1024,9.99230125e+05,4.56411183e+02,9.59028738e+01,9.99002011e+05
955,974,975,1026,1025,1.00047945e+06,-6.21884008e+01,-1.46105184e+01,1.00051054e+06
956,975,976,1027,1026,1.00033041e+06,1.84336487e+01,-5.44978748e+01,1.00032120e+06
957,976,977,1028,1027,1.00010847e+06,-6.23693164e+00,-1.83067563e+01,1.00011159e+06
958,977,978,1029,1028,1.00001720e+06,-1.03696301e-01,-4.28641600e+00,1.00001725e+06
959,978,979,1030,1029,9.99996388e+05,-5.10791420e-01,1.56652342e-01,9.99996644e+05
960,979,980,1031,1030,9.99996316e+05,2.70309794e-02,5.06487769e-01,9.99996303e+05
961,980,981,1032,1031,9.99998572e+05,6.78445546e-03,2.43000227e-01,9.99998569e+05
962,981,982,1033,1032,9.99999705e+05,1.55782597e-02,6.21152981e-02,9.99999697e+05
963,982,983,1034,1033,1.00000001e+06,3.25527539e-03,4.02020586e-03,1.00000001e+06
964,983,984,1035,1034,1.00000004e+06,7.88053797e-04,-4.97559976e-03,1.00000004e+06
965,984,985,1036,1035,1.00000002e+06,-1.98233339e-04,-2.90217610e-03,1.00000002e+06
966,985,986,1037,1036,1.00000000e+06,-1.29240104e-04,-8.84489604e-04,1.00000000e+06
967,986,987,1038,1037,1.00000000e+06,-5.62082373e-05,-1.14663202e-04,1.00000000e+06
968,987,988,1039,1038,1.00000000e+06,-9.81531407e-06,4.16553993e-05,1.00000000e+06
969,988,989,1040,1039,1.00000000e+06,4.74387750e-07,3.33805878e-05,1.00000000e+06
970,989,990,1041,1040,1.00000000e+06,1.56399889e-06,1.18917106e-05,1.00000000e+06
971,990,991,1042,1041,1.00000000e+06,6.63955206e-07,2.16410077e-06,1.00000000e+06
972,991,992,1043,1042,1.00000000e+06,1.73646424e-07,-2.44318509e-07,1.00000000e+06
973,992,993,1044,1043,1.00000000e+06,-1.94201749e-09,-3.40280826e-07,1.00000000e+06
974,993,994,1045,1044,1.00000000e+06,-1.15350915e-08,-1.45539807e-07,1.00000000e+06
975,994,995,1046,1045,1.00000000e+06,-1.13761236e-08,-5.83459099e-08,1.00000000e+06
976,995,996,1047,1046,1.00000000e+06,-8.03332794e-09,-1.23373607e-08,1.00000000e+06
977,996,997,1048,1047,1.00000000e+06,1.30101281e-08,1.87112836e-08,1.00000000e+06
978,997,998,1049,1048,1.00000000e+06,-1.04965154e-08,1.87226860e-08,1.00000000e+06
979,998,999,1050,1049,1.00000000e+06,-2.01667005e-09,-2.28503427e-08,1.00000000e+06
980,999,1000,1051,1050,1.00000000e+06,5.61870199e-09,-1.07296270e-08,1.00000000e+06
981,1000,1001,1052,1051,1.00000000e+06,-1.08836246e-08,-4.41271587e-09,1.00000000e+06
982,1001,1002,1053,1052,1.00000000e+06,1.72981199e-08,-1.29986979e-08,1.00000000e+06
983,1002,1003,1054,1053,1.00000000e+06,-9.97077519e-09,9.14469801e-09,1.00000000e+06
984,1003,1004,1055,1054,1.00000000e+06,6.92238068e-09,2.11855971e-08,1.00000000e+06
985,1004,1005,1056,1055,1.00000000e+06,-9.06069900e-09,-2.36028989e-09,1.00000000e+06
986,1005,1006,1057,1056,1.00000000e+06,7.57929678e-09,-5.26789337e-09,1.00000000e+06
